Year,State,Households,Persons,TotalCost,MCost,BCost,CostPerHousehold,CostPerPerson,MPersons,Region
2000,Maine,"51,711","101,598","$81,408,200 ",81.41,0.08,131.19,66.77,0.101597917,NERO
2000,MARO,"907,190","2,032,634","$1,736,074,558 ","1,736.07",1.74,159.47,71.18,2.032634333,MARO
2000,Maryland,"101,048","219,180","$199,458,863 ",199.46,0.2,164.49,75.84,0.219180417,MARO
2000,Massachusetts,"110,234","231,829","$181,517,603 ",181.52,0.18,137.22,65.25,0.231829,NERO
2000,Michigan,"269,430","602,857","$456,597,027 ",456.6,0.46,141.22,63.12,0.602857,MWRO
2000,Minnesota,"91,107","196,073","$164,695,571 ",164.7,0.16,150.64,70,0.196073083,MWRO
2000,Mississippi,"108,993","275,857","$226,107,873 ",226.11,0.23,172.88,68.3,0.275856917,SERO
2000,Missouri,"182,254","423,320","$358,044,751 ",358.04,0.36,163.71,70.48,0.423319917,MPRO
2000,Montana,"25,280","59,466","$51,194,113 ",51.19,0.05,168.76,71.74,0.059465667,MPRO
2000,MPRO,"490,106","1,140,056","$928,533,229 ",928.53,0.93,157.88,67.87,1.140055833,MPRO
2000,MWRO,"1,200,368","2,718,553","$2,315,658,671 ","2,315.66",2.32,160.76,70.98,2.718553083,MWRO
2000,Nebraska,"35,130","82,414","$60,888,562 ",60.89,0.06,144.44,61.57,0.082413917,MPRO
2000,NERO,"1,037,163","2,088,407","$1,881,785,444 ","1,881.79",1.88,151.2,75.09,2.08840675,NERO
2000,Nevada,"28,291","60,905","$56,642,985 ",56.64,0.06,166.84,77.5,0.060904917,WRO
2000,New Hampshire,"18,095","36,266","$28,129,262 ",28.13,0.03,129.55,64.64,0.036266417,NERO
2000,New Jersey,"152,358","344,677","$303,820,932 ",303.82,0.3,166.18,73.46,0.344676833,MARO
2000,New Mexico,"63,537","169,354","$139,569,533 ",139.57,0.14,183.06,68.68,0.169353667,SWRO
2000,New York,"720,035","1,438,568","$1,361,453,901 ","1,361.45",1.36,157.57,78.87,1.438567917,NERO
2000,North Carolina,"209,232","488,247","$403,129,126 ",403.13,0.4,160.56,68.81,0.488246667,SERO
2000,North Dakota,"13,604","31,824","$25,295,459 ",25.3,0.03,154.95,66.24,0.031824083,MPRO
2000,Ohio,"279,174","609,717","$520,402,338 ",520.4,0.52,155.34,71.13,0.609717,MWRO
2000,Oklahoma,"107,098","253,287","$208,396,356 ",208.4,0.21,162.15,68.56,0.253287083,SWRO
2000,Oregon,"114,368","234,387","$197,738,872 ",197.74,0.2,144.08,70.3,0.234386917,WRO
2000,Pennsylvania,"352,491","777,112","$655,726,257 ",655.73,0.66,155.02,70.32,0.777112333,MARO
2000,Rhode Island,"33,422","74,256","$59,272,157 ",59.27,0.06,147.79,66.52,0.074256,NERO
2000,SERO,"1,624,869","3,796,815","$3,234,212,553 ","3,234.21",3.23,165.87,70.99,3.796814917,SERO
2000,South Carolina,"121,945","295,335","$249,259,466 ",249.26,0.25,170.34,70.33,0.295335083,SERO
2000,South Dakota,"16,425","42,887","$36,786,857 ",36.79,0.04,186.64,71.48,0.042887333,MPRO
2000,SWRO,"950,593","2,501,847","$2,217,459,536 ","2,217.46",2.22,194.39,73.86,2.501847417,SWRO
2000,Tennessee,"215,336","496,031","$415,123,716 ",415.12,0.42,160.65,69.74,0.496031417,SERO
2000,Texas,"489,303","1,332,785","$1,215,160,306 ","1,215.16",1.22,206.95,75.98,1.332784583,SWRO
2000,US,"7,351,316",17194334,"$14,983,318,780 ","14,983.32",14.98,169.85,72.62,17.194334,US
2000,Utah,"32,616","81,917","$68,263,054 ",68.26,0.07,174.41,69.44,0.0819165,SWRO
2000,Vermont,"19,649","40,831","$31,996,215 ",32,0.03,135.7,65.3,0.040830917,NERO
2000,Virgin Islands,"5,087","15,668","$20,936,251 ",20.94,0.02,342.97,111.35,0.015668083,NERO
2000,Virginia,"150,452","336,080","$262,836,759 ",262.84,0.26,145.58,65.17,0.336079583,MARO
2000,Washington,"133,481","295,061","$241,495,700 ",241.5,0.24,150.77,68.21,0.295060917,WRO
2000,West Virginia,"96,097","226,897","$185,496,453 ",185.5,0.19,160.86,68.13,0.2268965,MARO
2000,Wisconsin,"76,633","193,021","$128,811,293 ",128.81,0.13,140.07,55.61,0.193020917,MWRO
2000,WRO,"1,141,027","2,916,022","$2,669,594,789 ","2,669.59",2.67,194.97,76.29,2.916022,WRO
2000,Wyoming,"8,952","22,447","$18,591,596 ",18.59,0.02,173.07,69.02,0.02244725,MPRO
2001,Alabama,"161,372","411,292","$364,735,790 ",364.74,0.36,188.35,73.9,0.411292083,SERO
2001,Alaska,"13,184","37,897","$46,477,327 ",46.48,0.05,293.77,102.2,0.037897417,WRO
2001,Arizona,"107,798","291,369","$280,402,760 ",280.4,0.28,216.77,80.2,0.29136875,SWRO
2001,Arkansas,"102,633","256,978","$223,351,249 ",223.35,0.22,181.35,72.43,0.256978417,SWRO
2001,California,"624,806","1,673,365","$1,583,142,951 ","1,583.14",1.58,211.15,78.84,1.673364667,WRO
2001,Colorado,"69,408","153,952","$130,771,498 ",130.77,0.13,157.01,70.79,0.153951833,MPRO
2001,Connecticut,"81,857","157,031","$135,682,522 ",135.68,0.14,138.13,72,0.157030917,NERO
2001,Delaware,"13,602","31,886","$31,926,772 ",31.93,0.03,195.6,83.44,0.031885917,MARO
2001,District of Columbia,"33,344","73,494","$70,340,763 ",70.34,0.07,175.8,79.76,0.073493917,MARO
2001,Florida,"425,955","887,256","$770,726,070 ",770.73,0.77,150.78,72.39,0.887255833,SERO
2001,Georgia,"235,633","573,537","$515,153,023 ",515.15,0.52,182.19,74.85,0.57353725,SERO
2001,Guam,"6,876","22,723","$37,172,243 ",37.17,0.04,450.54,136.32,0.022723417,WRO
2001,Hawaii,"50,983","108,313","$149,759,152 ",149.76,0.15,244.78,115.22,0.108312583,WRO
2001,Idaho,"24,034","59,667","$47,224,586 ",47.22,0.05,163.74,65.96,0.059666667,WRO
2001,Illinois,"363,570","825,295","$810,104,429 ",810.1,0.81,185.68,81.8,0.825295417,MWRO
2001,Indiana,"146,563","346,681","$317,040,579 ",317.04,0.32,180.26,76.21,0.346681417,MWRO
2001,Iowa,"54,437","126,494","$107,294,570 ",107.29,0.11,164.25,70.69,0.126493583,MWRO
2001,Kansas,"56,500","124,285","$91,979,416 ",91.98,0.09,135.66,61.67,0.124285167,MPRO
2001,Kentucky,"173,102","412,680","$350,489,629 ",350.49,0.35,168.73,70.78,0.412680083,SERO
2001,Louisiana,"198,248","518,384","$482,656,653 ",482.66,0.48,202.88,77.59,0.518383917,SWRO
2001,Maine,"53,151","104,383","$86,333,390 ",86.33,0.09,135.36,68.92,0.104382583,NERO
2001,MARO,"879,480","1,945,773","$1,683,733,300 ","1,683.73",1.68,159.54,72.11,1.945772833,MARO
2001,Maryland,"97,026","208,426","$190,820,637 ",190.82,0.19,163.89,76.29,0.208425833,MARO
2001,Massachusetts,"104,838","219,223","$172,989,318 ",172.99,0.17,137.51,65.76,0.219223417,NERO
2001,Michigan,"285,277","641,269","$504,149,597 ",504.15,0.5,147.27,65.51,0.6412685,MWRO
2001,Minnesota,"93,086","197,727","$172,484,759 ",172.48,0.17,154.41,72.69,0.19772675,MWRO
2001,Mississippi,"115,994","297,805","$254,370,944 ",254.37,0.25,182.75,71.18,0.297805417,SERO
2001,Missouri,"195,480","454,427","$394,611,312 ",394.61,0.39,168.22,72.36,0.454426583,MPRO
2001,Montana,"26,481","61,957","$53,846,673 ",53.85,0.05,169.45,72.42,0.06195725,MPRO
2001,MPRO,"511,892","1,186,370","$993,774,378 ",993.77,0.99,161.78,69.81,1.186370167,MPRO
2001,MWRO,"1,267,307","2,867,263","$2,529,092,565 ","2,529.09",2.53,166.3,73.5,2.867262833,MWRO
2001,Nebraska,"34,729","80,652","$62,711,292 ",62.71,0.06,150.48,64.8,0.080651917,MPRO
2001,NERO,"993,487","1,979,879","$1,878,576,360 ","1,878.58",1.88,157.57,79.07,1.979879417,NERO
2001,Nevada,"32,102","69,825","$65,330,055 ",65.33,0.07,169.59,77.97,0.069825,WRO
2001,New Hampshire,"17,951","35,554","$28,051,307 ",28.05,0.03,130.22,65.75,0.03555425,NERO
2001,New Jersey,"144,067","317,579","$292,111,168 ",292.11,0.29,168.97,76.65,0.317578583,MARO
2001,New Mexico,"62,484","163,245","$136,264,416 ",136.26,0.14,181.73,69.56,0.163244583,SWRO
2001,New York,"683,969","1,353,542","$1,365,352,668 ","1,365.35",1.37,166.35,84.06,1.35354225,NERO
2001,North Carolina,"213,420","493,672","$424,834,876 ",424.83,0.42,165.88,71.71,0.493672417,SERO
2001,North Dakota,"15,921","37,755","$27,125,809 ",27.13,0.03,141.98,59.87,0.03775475,MPRO
2001,Ohio,"292,222","640,505","$572,859,721 ",572.86,0.57,163.36,74.53,0.64050475,MWRO
2001,Oklahoma,"113,374","271,001","$236,102,011 ",236.1,0.24,173.54,72.6,0.271001167,SWRO
2001,Oregon,"137,199","283,705","$239,553,778 ",239.55,0.24,145.5,70.36,0.28370475,WRO
2001,Pennsylvania,"342,814","748,074","$639,175,011 ",639.18,0.64,155.37,71.2,0.74807425,MARO
2001,Rhode Island,"32,632","71,272","$59,063,899 ",59.06,0.06,150.83,69.06,0.071272167,NERO
2001,SERO,"1,681,754","3,913,471","$3,404,004,442 ","3,404.00",3.4,168.67,72.48,3.913470917,SERO
2001,South Carolina,"130,055","315,718","$269,270,452 ",269.27,0.27,172.54,71.07,0.315717583,SERO
2001,South Dakota,"17,160","44,594","$39,348,630 ",39.35,0.04,191.09,73.53,0.044594083,MPRO
2001,SWRO,"976,867","2,570,250","$2,348,268,426 ","2,348.27",2.35,200.32,76.14,2.570250083,SWRO
2001,Tennessee,"226,224","521,510","$454,423,658 ",454.42,0.45,167.39,72.61,0.52151025,SERO
2001,Texas,"500,129","1,360,642","$1,269,894,097 ","1,269.89",1.27,211.59,77.78,1.360642,SWRO
2001,US,"7,449,156",17318458,"$15,547,389,838 ","15,547.39",15.55,173.93,74.81,17.318458,US
2001,Utah,"32,647","79,716","$66,826,668 ",66.83,0.07,170.58,69.86,0.07971625,SWRO
2001,Vermont,"19,090","38,874","$31,103,256 ",31.1,0.03,135.77,66.68,0.038873833,NERO
2001,Virgin Islands,"4,417","13,266","$17,631,417 ",17.63,0.02,332.68,110.76,0.0132655,NERO
2001,Virginia,"149,417","331,688","$263,295,483 ",263.3,0.26,146.85,66.15,0.33168825,MARO
2001,Washington,"141,387","308,589","$260,877,515 ",260.88,0.26,153.76,70.45,0.308588583,WRO
2001,West Virginia,"94,794","221,361","$178,432,049 ",178.43,0.18,156.86,67.17,0.221360583,MARO
2001,Wisconsin,"86,588","215,786","$152,453,480 ",152.45,0.15,146.72,58.88,0.215786,MWRO
2001,WRO,"1,138,369","2,855,452","$2,709,940,367 ","2,709.94",2.71,198.38,79.09,2.855451833,WRO
2001,Wyoming,"9,129","22,539","$19,258,510 ",19.26,0.02,175.79,71.21,0.02253875,MPRO
2002,Alabama,"173,295","443,547","$417,376,930 ",417.38,0.42,200.71,78.42,0.443547417,SERO
2002,Alaska,"16,138","46,166","$59,454,787 ",59.45,0.06,307.01,107.32,0.0461655,WRO
2002,Arizona,"143,825","378,719","$385,908,414 ",385.91,0.39,223.6,84.92,0.378719333,SWRO
2002,Arkansas,"113,238","283,909","$264,534,345 ",264.53,0.26,194.67,77.65,0.283908583,SWRO
2002,California,"648,315","1,711,332","$1,706,341,758 ","1,706.34",1.71,219.33,83.09,1.711331583,WRO
2002,Colorado,"78,902","178,490","$165,442,169 ",165.44,0.17,174.73,77.24,0.178489917,MPRO
2002,Connecticut,"87,963","168,591","$145,797,723 ",145.8,0.15,138.12,72.07,0.1685905,NERO
2002,Delaware,"16,483","39,628","$39,293,407 ",39.29,0.04,198.65,82.63,0.039627583,MARO
2002,Delaware,"34,554","74,271","$75,667,818 ",75.67,0.08,182.49,84.9,0.074270833,MARO
2002,Florida,"472,697","985,130","$878,454,831 ",878.45,0.88,154.87,74.31,0.985129833,SERO
2002,Georgia,"263,076","645,633","$621,290,583 ",621.29,0.62,196.8,80.19,0.645633333,SERO
2002,Guam,"7,436","24,457","$51,815,528 ",51.82,0.05,580.69,176.55,0.024457333,WRO
2002,Hawaii,"50,442","105,147","$151,768,769 ",151.77,0.15,250.73,120.28,0.105147083,WRO
2002,Idaho,"28,006","69,998","$62,014,314 ",62.01,0.06,184.53,73.83,0.06999825,WRO
2002,Illinois,"392,909","886,344","$923,305,728 ",923.31,0.92,195.83,86.81,0.886344333,MWRO
2002,Indiana,"171,330","410,887","$408,077,163 ",408.08,0.41,198.48,82.76,0.410886833,MWRO
2002,Iowa,"60,549","140,729","$128,762,369 ",128.76,0.13,177.21,76.25,0.14072925,MWRO
2002,Kansas,"62,896","140,403","$113,271,938 ",113.27,0.11,150.08,67.23,0.14040325,MPRO
2002,Kentucky,"187,471","450,102","$410,097,309 ",410.1,0.41,182.29,75.93,0.450102417,SERO
2002,Louisiana,"224,450","588,458","$587,074,354 ",587.07,0.59,217.97,83.14,0.588458333,SWRO
2002,Maine,"56,376","111,147","$97,446,679 ",97.45,0.1,144.04,73.06,0.111147333,NERO
2002,MARO,"915,990","2,028,997","$1,865,652,288 ","1,865.65",1.87,169.73,76.62,2.028996833,MARO
2002,Maryland,"104,795","228,329","$215,189,301 ",215.19,0.22,171.12,78.54,0.228329417,MARO
2002,Massachusetts,"114,859","242,542","$209,235,751 ",209.24,0.21,151.81,71.89,0.242541667,NERO
2002,Michigan,"327,853","750,037","$644,577,181 ",644.58,0.64,163.84,71.62,0.750037083,MWRO
2002,Minnesota,"101,820","216,960","$200,648,921 ",200.65,0.2,164.22,77.07,0.21695975,MWRO
2002,Mississippi,"126,389","324,852","$297,924,799 ",297.92,0.3,196.43,76.43,0.324852167,SERO
2002,Missouri,"220,639","515,006","$476,894,198 ",476.89,0.48,180.12,77.17,0.515005917,MPRO
2002,Montana,"26,865","63,347","$57,920,256 ",57.92,0.06,179.67,76.19,0.063347333,MPRO
2002,MPRO,"567,344","1,324,309","$1,194,620,595 ","1,194.62",1.19,175.47,75.17,1.324308583,MPRO
2002,MWRO,"1,430,502","3,261,217","$3,100,249,236 ","3,100.25",3.1,180.6,79.22,3.261217083,MWRO
2002,Nebraska,"37,571","88,461","$74,384,109 ",74.38,0.07,164.99,70.07,0.0884605,MPRO
2002,NERO,"1,020,433","2,023,856","$2,064,309,100 ","2,064.31",2.06,168.58,85,2.023856417,NERO
2002,Nevada,"43,556","97,035","$95,508,198 ",95.51,0.1,182.73,82.02,0.097035417,WRO
2002,New Hampshire,"20,452","41,053","$34,656,997 ",34.66,0.03,141.21,70.35,0.041052833,NERO
2002,New Jersey,"147,077","319,799","$314,258,247 ",314.26,0.31,178.06,81.89,0.319799083,MARO
2002,New Mexico,"65,875","170,457","$154,364,768 ",154.36,0.15,195.27,75.47,0.170457,SWRO
2002,New York,"687,604","1,348,677","$1,478,662,757 ","1,478.66",1.48,179.2,91.37,1.34867675,NERO
2002,North Carolina,"244,907","574,369","$536,423,418 ",536.42,0.54,182.53,77.83,0.5743685,SERO
2002,North Dakota,"15,899","36,781","$31,374,657 ",31.37,0.03,164.45,71.08,0.036781417,MPRO
2002,Ohio,"330,844","734,679","$726,310,158 ",726.31,0.73,182.94,82.38,0.734679417,MWRO
2002,Oklahoma,"129,934","316,684","$288,441,518 ",288.44,0.29,184.99,75.9,0.316683917,SWRO
2002,Oregon,"177,291","359,138","$319,462,072 ",319.46,0.32,150.16,74.13,0.359138417,WRO
2002,Pennsylvania,"350,838","766,615","$700,337,384 ",700.34,0.7,166.35,76.13,0.766615167,MARO
2002,Rhode Island,"33,370","71,933","$64,256,422 ",64.26,0.06,160.46,74.44,0.071933167,NERO
2002,SERO,"1,878,319","4,400,956","$4,064,737,524 ","4,064.74",4.06,180.34,76.97,4.400955833,SERO
2002,South Carolina,"154,584","379,310","$351,661,564 ",351.66,0.35,189.57,77.26,0.379310083,SERO
2002,South Dakota,"18,474","47,663","$45,323,818 ",45.32,0.05,204.45,79.24,0.0476625,MPRO
2002,SWRO,"1,103,835","2,913,936","$2,816,709,893 ","2,816.71",2.82,212.65,80.55,2.913936167,SWRO
2002,Tennessee,"255,900","598,012","$551,508,090 ",551.51,0.55,179.6,76.85,0.598012083,SERO
2002,Texas,"570,337","1,554,428","$1,522,294,908 ","1,522.29",1.52,222.43,81.61,1.554428333,SWRO
2002,US,"8,194,746",19095637,"$18,256,204,249 ","18,256.20",18.26,185.65,79.67,19.095637,US
2002,Utah,"36,005","89,899","$79,708,928 ",79.71,0.08,184.49,73.89,0.089898583,SWRO
2002,Vermont,"19,809","39,914","$34,252,771 ",34.25,0.03,144.09,71.51,0.039914167,NERO
2002,Virgin Islands,"4,181","12,447","$17,431,363 ",17.43,0.02,347.41,116.7,0.012446917,NERO
2002,Virginia,"157,703","352,172","$305,463,503 ",305.46,0.31,161.41,72.28,0.352172333,MARO
2002,Washington,"163,313","350,373","$317,651,773 ",317.65,0.32,162.09,75.55,0.350372833,WRO
2002,West Virginia,"100,359","235,736","$198,011,265 ",198.01,0.2,164.42,70,0.2357355,MARO
2002,Wisconsin,"105,747","262,310","$197,330,085 ",197.33,0.2,155.51,62.69,0.262309667,MWRO
2002,WRO,"1,278,322","3,142,366","$3,149,925,613 ","3,149.93",3.15,205.34,83.53,3.14236575,WRO
2002,Wyoming,"9,545","23,530","$21,538,153 ",21.54,0.02,188.04,76.28,0.023529917,MPRO
2003,Alabama,"185,028","472,066","$466,123,805 ",466.12,0.47,209.93,82.28,0.47206625,SERO
2003,Alaska,"17,797","50,687","$65,728,367 ",65.73,0.07,307.77,108.06,0.050687083,WRO
2003,Arizona,"181,145","466,151","$497,638,214 ",497.64,0.5,228.93,88.96,0.46615125,SWRO
2003,Arkansas,"124,288","310,359","$304,339,830 ",304.34,0.3,204.06,81.72,0.310359417,SWRO
2003,California,"661,262","1,708,522","$1,805,546,523 ","1,805.55",1.81,227.54,88.07,1.7085215,WRO
2003,Colorado,"90,096","208,053","$203,312,158 ",203.31,0.2,188.05,81.43,0.20805325,MPRO
2003,Connecticut,"94,147","180,512","$164,854,160 ",164.85,0.16,145.92,76.11,0.18051175,NERO
2003,Delaware,"19,141","46,027","$47,791,321 ",47.79,0.05,208.07,86.53,0.046027083,MARO
2003,District of Columbia,"39,104","81,777","$90,113,910 ",90.11,0.09,192.04,91.83,0.08177725,MARO
2003,Florida,"502,669","1,041,315","$987,756,897 ",987.76,0.99,163.75,79.05,1.041314833,SERO
2003,Georgia,"314,687","750,208","$782,410,897 ",782.41,0.78,207.19,86.91,0.750207667,SERO
2003,Guam,"7,098","23,934","$53,437,307 ",53.44,0.05,627.42,186.06,0.023934167,WRO
2003,Hawaii,"48,766","100,382","$156,191,451 ",156.19,0.16,266.9,129.66,0.1003815,WRO
2003,Idaho,"32,428","81,524","$76,579,605 ",76.58,0.08,196.79,78.28,0.081523917,WRO
2003,Illinois,"422,487","953,929","$1,052,739,082 ","1,052.74",1.05,207.65,91.97,0.953929167,MWRO
2003,Indiana,"196,689","470,183","$483,700,392 ",483.7,0.48,204.94,85.73,0.470183083,MWRO
2003,Iowa,"66,436","153,816","$149,243,938 ",149.24,0.15,187.2,80.86,0.153815583,MWRO
2003,Kansas,"70,845","160,705","$140,386,993 ",140.39,0.14,165.14,72.8,0.160705167,MPRO
2003,Kentucky,"209,532","502,677","$486,231,294 ",486.23,0.49,193.38,80.61,0.50267675,SERO
2003,Louisiana,"250,388","655,300","$685,267,266 ",685.27,0.69,228.07,87.14,0.655300167,SWRO
2003,Maine,"65,760","132,582","$124,070,012 ",124.07,0.12,157.23,77.98,0.1325815,NERO
2003,MARO,"988,157","2,194,273","$2,119,885,444 ","2,119.89",2.12,178.77,80.51,2.194273167,MARO
2003,Maryland,"114,991","252,383","$256,924,246 ",256.92,0.26,186.19,84.83,0.252383,MARO
2003,Massachusetts,"135,195","292,200","$253,770,540 ",253.77,0.25,156.42,72.37,0.292199583,NERO
2003,Michigan,"364,166","837,629","$783,076,440 ",783.08,0.78,179.19,77.91,0.8376285,MWRO
2003,Minnesota,"110,088","234,631","$227,125,549 ",227.13,0.23,171.93,80.67,0.234630667,MWRO
2003,Mississippi,"142,641","355,783","$335,073,821 ",335.07,0.34,195.76,78.48,0.3557825,SERO
2003,Missouri,"247,828","582,006","$567,586,196 ",567.59,0.57,190.85,81.27,0.582006,MPRO
2003,Montana,"30,208","71,320","$68,950,097 ",68.95,0.07,190.21,80.56,0.071320083,MPRO
2003,MPRO,"636,697","1,496,919","$1,432,258,409 ","1,432.26",1.43,187.46,79.73,1.496918917,MPRO
2003,MWRO,"1,592,238","3,648,490","$3,658,862,605 ","3,658.86",3.66,191.49,83.57,3.648490167,MWRO
2003,Nebraska,"42,507","99,243","$89,301,593 ",89.3,0.09,175.07,74.99,0.09924325,MPRO
2003,NERO,"1,096,312","2,201,463","$2,365,520,569 ","2,365.52",2.37,179.81,89.54,2.201463,NERO
2003,Nevada,"49,214","111,352","$112,673,472 ",112.67,0.11,190.79,84.32,0.111352,WRO
2003,New Hampshire,"22,150","44,783","$39,886,906 ",39.89,0.04,150.07,74.22,0.044783333,NERO
2003,New Jersey,"157,874","339,047","$338,821,016 ",338.82,0.34,178.85,83.28,0.339047167,MARO
2003,New Mexico,"74,645","194,795","$183,505,381 ",183.51,0.18,204.86,78.5,0.194795083,SWRO
2003,New York,"724,420","1,435,986","$1,676,508,940 ","1,676.51",1.68,192.86,97.29,1.435986,NERO
2003,North Carolina,"276,321","649,426","$645,418,451 ",645.42,0.65,194.65,82.82,0.649425667,SERO
2003,North Dakota,"17,273","39,663","$36,702,541 ",36.7,0.04,177.07,77.11,0.03966325,MPRO
2003,Ohio,"379,354","855,401","$878,758,371 ",878.76,0.88,193.04,85.61,0.855401417,MWRO
2003,Oklahoma,"152,860","380,299","$362,454,708 ",362.45,0.36,197.6,79.42,0.38029875,SWRO
2003,Oregon,"199,205","398,377","$380,986,642 ",380.99,0.38,159.38,79.7,0.398377,WRO
2003,Pennsylvania,"373,597","822,696","$785,458,544 ",785.46,0.79,175.2,79.56,0.82269625,MARO
2003,Rhode Island,"34,121","74,068","$68,800,619 ",68.8,0.07,168.03,77.41,0.074068083,NERO
2003,SERO,"2,130,439","4,950,335","$4,868,165,812 ","4,868.17",4.87,190.42,81.95,4.950334667,SERO
2003,South Carolina,"184,771","450,556","$443,355,574 ",443.36,0.44,199.96,82,0.45055625,SERO
2003,South Dakota,"20,018","51,176","$50,515,052 ",50.52,0.05,210.29,82.26,0.051175917,MPRO
2003,SWRO,"1,319,418","3,413,226","$3,416,418,815 ","3,416.42",3.42,215.78,83.41,3.413226,SWRO
2003,Tennessee,"314,792","728,305","$721,795,073 ",721.8,0.72,191.08,82.59,0.72830475,SERO
2003,Texas,"717,238","1,872,473","$1,880,851,630 ","1,880.85",1.88,218.53,83.71,1.872472583,SWRO
2003,US,"9,152,912",21249626,"$21,404,276,216 ","21,404.28",21.4,194.88,83.94,21.249626,US
2003,Utah,"41,282","105,630","$102,205,565 ",102.21,0.1,206.32,80.63,0.105630417,SWRO
2003,Vermont,"20,519","41,333","$37,629,392 ",37.63,0.04,152.82,75.87,0.04133275,NERO
2003,Virgin Islands,"4,394","12,938","$18,494,328 ",18.49,0.02,350.74,119.12,0.012937667,NERO
2003,Virginia,"173,691","392,515","$366,217,567 ",366.22,0.37,175.7,77.75,0.392515,MARO
2003,Washington,"192,735","403,992","$394,382,981 ",394.38,0.39,170.52,81.35,0.4039915,WRO
2003,West Virginia,"105,365","246,890","$216,064,512 ",216.06,0.22,170.89,72.93,0.24688975,MARO
2003,Wisconsin,"119,455","296,717","$233,462,771 ",233.46,0.23,162.87,65.57,0.296717333,MWRO
2003,WRO,"1,389,650","3,344,920","$3,543,164,562 ","3,543.16",3.54,212.47,88.27,3.344919917,WRO
2003,Wyoming,"10,205","25,306","$24,054,276 ",24.05,0.02,196.42,79.21,0.025306,MPRO
2004,Alabama,"197,237","497,591","$512,604,194 ",512.6,0.51,216.58,85.85,0.497591333,SERO
2004,Alaska,"17,696","49,323","$64,404,884 ",64.4,0.06,303.3,108.81,0.04932325,WRO
2004,Arizona,"207,849","529,556","$577,867,879 ",577.87,0.58,231.69,90.94,0.529556,SWRO
2004,Arkansas,"140,269","346,441","$346,881,013 ",346.88,0.35,206.08,83.44,0.346441333,SWRO
2004,California,"732,239","1,859,486","$1,981,136,316 ","1,981.14",1.98,225.47,88.79,1.859486333,WRO
2004,Colorado,"103,574","241,780","$252,941,644 ",252.94,0.25,203.51,87.18,0.241779583,MPRO
2004,Connecticut,"102,175","195,980","$197,530,353 ",197.53,0.2,161.11,83.99,0.195980167,NERO
2004,Delaware,"23,292","55,642","$56,542,045 ",56.54,0.06,202.29,84.68,0.05564175,MARO
2004,District of Columbia,"43,132","88,655","$97,507,742 ",97.51,0.1,188.39,91.66,0.088654667,MARO
2004,Florida,"579,945","1,202,227","$1,268,549,090 ","1,268.55",1.27,182.28,87.93,1.202227083,SERO
2004,Georgia,"353,040","867,148","$923,814,897 ",923.81,0.92,218.06,88.78,0.867147833,SERO
2004,Guam,"7,585","25,725","$48,115,089 ",48.12,0.05,528.63,155.87,0.025724667,WRO
2004,Hawaii,"48,600","98,589","$151,809,426 ",151.81,0.15,260.3,128.32,0.09858875,WRO
2004,Idaho,"36,083","91,395","$90,971,822 ",90.97,0.09,210.1,82.95,0.091395333,WRO
